gene_id,Gene Name,Gene Length
AAC73238.1,putative ABC transporter ATP-binding protein YadG,308
AAC73239.1,putative ABC transporter membrane subunit YadH,256
AAC73240.1,putative PTS enzyme IIA component YadI,146
AAC73241.1,putative polysaccharide deacetylase lipoprotein YadE,409
AAC73242.1,aspartate 1-decarboxylase proenzyme,126
AAC73243.1,recombination-promoting nuclease RpnC,300
AAC73244.1,pantothenate synthetase,283
AAC73245.1,3-methyl-2-oxobutanoate hydroxymethyltransferase,264
AAC73246.1,fimbrial tip-adhesin YadC,412
AAC73247.1,putative fimbrial protein YadK,198
AAC73248.1,putative fimbrial protein YadL,201
AAC73249.2,putative fimbrial protein YadM,189
AAC73250.1,putative fimbrial usher protein HtrE,865
AAC73251.1,putative fimbrial chaperone YadV,246
AAC73252.1,putative fimbrial protein YadN,194
AAC73253.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,159
AAC73254.2,poly(A) polymerase I,465
AAC73255.3,glutamyl-Q tRNA(Asp) synthetase,308
AAC73256.1,RNA polymerase-binding transcription factor DksA,151
AAC73257.1,putative DNA-binding transcriptional regulator of maltose metabolism,234
AAC73258.2,RNA 2' 3'-cyclic phosphodiesterase,176
AAC73259.2,RNA-dependent NTPase HrpB,809
AAC73260.1,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,844
AAC73261.1,ferrichrome outer membrane transporter/phage receptor,747
AAC73262.1,iron(III) hydroxamate ABC transporter ATP binding subunit,265
AAC73263.1,iron(III) hydroxamate ABC transporter periplasmic binding protein,296
AAC73264.1,iron(III) hydroxamate ABC transporter membrane subunit,660
AAC73265.1,glutamate-1-semialdehyde 2 1-aminomutase,426
AAC73266.1,chloride:H(+) antiporter ClcA,473
AAC73267.1,iron-sulfur cluster insertion protein ErpA,114
AAC73268.1,PF03458 family protein YadS,207
AAC73269.1,vitamin B12 ABC transporter periplasmic binding protein,266
AAC73270.1,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,232
AAC73271.1,dGTP triphosphohydrolase,505
AAC73272.1,periplasmic serine endoprotease DegP,474
AAC73273.2,DNA-binding transcriptional activator CdaR,385
AAC73274.1,DUF3461 domain-containing protein YaeH,128
AAC73275.2,phosphodiesterase YaeI,270
AAC73277.1,tetrahydrodipicolinate succinylase,274
AAC73278.1,PII uridylyltransferase/uridylyl removing enzyme,890
AAC73279.1,methionine aminopeptidase,264
AAC73280.1,30S ribosomal subunit protein S2,241
AAC73281.1,protein chain elongation factor EF-Ts,283
AAC73282.1,UMP kinase,241
AAC73283.1,ribosome-recycling factor,185
AAC73284.1,1-deoxy-D-xylulose 5-phosphate reductoisomerase,398
AAC73285.1,ditrans polycis-undecaprenyl-diphosphate synthase [(2E 6E)-farnesyl-diphosphate specific],253
AAC73286.2,CDP-diglyceride synthetase,285
AAC73287.1,intramembrane zinc metalloprotease RseP,450
AAC73288.1,outer membrane protein assembly factor BamA,810
AAC73289.1,periplasmic chaperone Skp,161
AAC73290.1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,341
AAC73291.1,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,151
AAC73292.1,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,262
AAC73293.1,lipid A disaccharide synthase,382
AAC73294.1,RNase HII,198
AAC73295.1,DNA polymerase III subunit alpha,1160
AAC73296.1,acetyl-CoA carboxyltransferase subunit alpha,319
AAC73297.1,lysine decarboxylase 2,713
AAC73298.2,VOC domain-containing protein YaeR,129
AAC73299.1,tRNA(Ile)-lysidine synthetase,432
AAC73300.2,modulator of Rho-dependent transcription termination,84
AAC73301.1,uncharacterized protein YaeQ,181
AAC73302.1,peptidyl-tRNA hydrolase  ribosome rescue factor,140
AAC73303.1,sensor lipoprotein NlpE,236
AAC73304.2,peptidase C92 family protein YaeF,274
AAC73305.1,proline--tRNA ligase,572
AAC73306.1,tRNA m(6)t(6)A37 methyltransferase,235
AAC73307.1,sensor lipoprotein RcsF,134
AAC73308.1,L-methionine/D-methionine ABC transporter membrane anchored binding protein,271
AAC73309.1,L-methionine/D-methionine ABC transporter membrane subunit,217
AAC73310.1,L-methionine/D-methionine ABC transporter ATP binding subunit,343
AAC73311.1,D-glycero-beta-D-manno-heptose-1 7-bisphosphate 7-phosphatase,191
AAC73312.1,methylglyoxal reductase DkgB,267
AAC73313.1,LysR family transcriptional regulator YafC,304
AAC73314.1,endonuclease/exonuclease/phosphatase domain-containing protein YafD,266
AAC73315.1,putative S-adenosylmethionine-dependent methyltransferase,207
AAC73316.1,membrane-bound lytic murein transglycosylase D,452
AAC73317.1,hydroxyacylglutathione hydrolase GloB,251
AAC73318.2,putative S-adenosyl-L-methionine-dependent methyltransferase,240
AAC73319.1,ribonuclease HI,155
AAC73320.1,DNA polymerase III subunit epsilon,243
AAC73321.1,lipoprotein YafT,261
AAC73323.1,2-oxoglutaramate amidase,256
AAC73324.1,periplasmic chaperone  inhibitor of vertebrate C-type lysozyme,157
AAC73325.2,acyl-CoA dehydrogenase,814
AAC73326.1,D-sedoheptulose 7-phosphate isomerase,192
AAC73327.1,putative glutamine amidotransferase YafJ,255
AAC73328.1,L D-transpeptidase domain-containing protein LdtF,246
AAC73329.1,ribosome-dependent mRNA interferase toxin YafQ,92
AAC73330.1,antitoxin/DNA-binding transcriptional repressor DinJ,86
AAC73331.1,NlpC/P60 family protein YafL,249
AAC73332.1,REP-associated tyrosine transposase,165
AAC73335.1,DNA polymerase IV,351
AAC73336.1,antitoxin YafN,97
AAC73337.1,ribosome-dependent mRNA interferase toxin YafO,132
AAC73338.1,putative acyltransferase with acyl-CoA N-acyltransferase domain,150
AAC73341.1,peptidase D,485
AAC73342.1,xanthine-guanine phsophoribosyltransferase,152
AAC73343.1,fermentation-respiration switch protein,414
AAC73345.1,outer membrane porin PhoE,351
AAC73346.1,glutamate 5-kinase,367
AAC73347.1,glutamate-5-semialdehyde dehydrogenase,417
AAC73348.1,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,113
AAC73349.1,antitoxin of the YkfI-YafW toxin-antitoxin pair,105
AAC73350.1,CP4-6 prophage; RadC-like JAB domain-containing protein YkfG,158
AAC73351.1,CP4-6 prophage; protein YafX,152
AAC73352.1,CP4-6 prophage; protein YkfF,79
AAC73353.1,CP4-6 prophage; protein YkfB,155
AAC73354.2,CP4-6 prophage; inner membrane lipoprotein YafY,147
AAC73355.2,CP4-6 prophage; DUF932 domain-containing protein YafZ,273
AAC73356.2,CP4-6 prophage; putative GTP-binding protein YkfA,287
AAC73357.1,CP4-6 prophage; putative transcriptional regulator PerR,297
AAC73359.1,IS30 transposase,383
AAC73362.2,CP4-6 prophage; IS5 transposase and trans-activator,326
AAC73363.2,CP4-6 prophage; S-methyl-L-methionine transporter,467
AAC73364.1,CP4-6 prophage; homocysteine S-methyltransferase,310
AAC73365.2,CP4-6 prophage; ABC transporter ATP-binding protein AfuC,348
AAC73367.1,IS1 protein InsB,167
AAC73368.1,IS1 protein InsA,91
AAC73370.1,CP4-6 prophage; integrase core domain-containing protein YagA,384
AAC73371.2,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,302
AAC73372.1,CP4-6 prophage; D-xylonate dehydratase,655
AAC73373.1,CP4-6 prophage; putative D-xylonate transporter YagG,460
AAC73374.1,CP4-6 prophage; putative xylosidase/arabinosidase,536
AAC73375.1,CP4-6 prophage; DNA-binding transcriptional repressor XynR,252
AAC73376.1,CP4-6 prophage; ornithine carbamoyltransferase ArgF,334
AAC73377.1,IS1 protein InsB,167
AAC73378.1,IS1 protein InsA,91
AAC73380.1,CP4-6 prophage; uncharacterized protein YagK,208
AAC73381.1,CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL,232
AAC73382.1,CP4-6 prophage; protein YagM,284
AAC73383.1,CP4-6 prophage; protein YagN,146
AAC73384.1,CP4-6 prophage; putative phage integrase,466
AAC73386.1,molybdenum cofactor insertion chaperone PaoD,318
AAC73387.1,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,732
AAC73388.1,aldehyde dehydrogenase  FAD-binding subunit,318
AAC73389.1,aldehyde dehydrogenase  Fe-S subunit,229
AAC73390.1,inner membrane protein that contributes to acid resistance,204
AAC73391.1,putative zinc- or iron-chelating domain-containing protein YkgJ,109
AAC73392.2,putative fimbrial chaperone EcpE,236
AAC73393.1,fimbrial adhesin EcpD,547
AAC73394.1,putative fimbrial usher protein EcpC,841
AAC73395.1,putative fimbrial chaperone EcpB,222
AAC73396.1,common pilus major subunit,195
AAC73397.1,DNA-binding transcriptional dual regulator MatA,196
AAC73398.1,uncharacterized protein YkgL,75
AAC73399.1,50S ribosomal subunit protein L31B,87
AAC73401.2,IS3 element protein InsE,99
AAC73402.1,IS3 element protein InsF,288
AAC73404.2,reactive chlorine species resistance protein C,197
AAC73406.2,DUF1471 domain-containing protein RclB,78
AAC73407.2,cupric reductase RclA,441
AAC73408.1,DNA-binding transcriptional activator RclR,284
AAC73409.1,putative lactate utilization oxidoreductase YkgE,239
AAC73410.1,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,475
AAC73411.2,DUF162 domain-containing lactate utilization protein YkgG,231
AAC73413.1,uncharacterized protein YkgH,222
AAC73414.1,choline dehydrogenase,556
AAC73415.1,betaine aldehyde dehydrogenase,490
AAC73416.1,DNA-binding transcriptional repressor BetI,195
AAC73417.1,choline:H(+) symporter,677
AAC73418.1,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,362
AAC73419.1,putative LysR-type DNA-binding transcriptional regulator YahB,310
AAC73420.1,uncharacterized protein YahC,165
AAC73421.1,ankyrin repeat-containing protein YahD,201
AAC73422.1,DUF2877 domain-containing protein YahE,287
AAC73423.1,putative acyl-CoA synthetase YahF,515
AAC73424.1,DUF1116 domain-containing protein YahG,472
AAC73426.1,carbamate kinase-like protein YahI,316
AAC73427.1,putative deaminase with metallo-dependent hydrolase domain,460
AAC73428.1,aldehyde reductase  NADPH-dependent,349
AAC73429.1,uncharacterized protein YahL,271
AAC73430.2,uncharacterized protein YahM,81
AAC73431.1,putative amino acid exporter YahN,223
AAC73432.1,DUF1471 domain-containing protein YahO,91
AAC73433.1,DNA-binding transcriptional dual regulator PrpR,528
AAC73434.1,2-methylisocitrate lyase,296
AAC73436.1,2-methylcitrate synthase,389
AAC73437.1,2-methylcitrate dehydratase,483
AAC73438.1,propionyl-CoA synthetase,628
AAC73439.1,cytosine transporter,419
AAC73440.1,cytosine/isoguanine deaminase,427
AAC73441.3,DNA-binding transcriptional dual regulator CynR,299
AAC73442.1,carbonic anhydrase 1,219
AAC73443.1,cyanase,156
AAC73444.1,cyanate transporter,384
AAC73445.1,galactoside O-acetyltransferase,203
AAC73446.1,lactose permease,417
AAC73447.1,beta-galactosidase,1024
AAC73448.1,DNA-binding transcriptional repressor LacI,360
AAC73449.2,DNA-binding transcriptional activator MhpR,277
AAC73450.1,3-(3-hydroxyphenyl)propanoate hydroxylase,554
AAC73451.1,3-carboxyethylcatechol 2 3-dioxygenase,314
AAC73452.3,2-hydroxy-6-ketonona-2 4-dienedioate hydrolase,288
AAC73453.2,2-hydroxypentadienoate hydratase,269
AAC73454.1,acetaldehyde dehydrogenase (acetylating) MhpF,316
AAC73455.1,4-hydroxy-2-oxovalerate aldolase,337
AAC73456.2,3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter,403
AAC73457.2,DUF2058 domain-containing protein YaiL,179
AAC73458.1,S-formylglutathione hydrolase FrmB,277
AAC73459.1,S-(hydroxymethyl)glutathione dehydrogenase,369
AAC73460.2,DNA-binding transcriptional repressor FrmR,91
AAC73461.1,outer membrane protein YaiO,257
AAC73463.2,IS2 element protein InsA,121
AAC73464.1,IS2 element protein,301
AAC73466.1,putative glucosyltransferase,398
AAC73467.2,putative deacetylase YaiS,185
AAC73468.2,taurine ABC transporter periplasmic binding protein,320
AAC73469.1,taurine ABC transporter ATP binding subunit,255
AAC73470.1,taurine ABC transporter membrane subunit,275
AAC73471.1,taurine dioxygenase,283
AAC73472.2,porphobilinogen synthase,324
AAC73475.1,IS3 element protein InsF,288
AAC73476.2,IS3 element protein InsE,99
AAC73478.2,putative DNA-binding transcriptional regulator IprA,207
AAC73479.1,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,385
AAC73480.1,peptide antibiotic/peptide nucleic acid transporter,406
AAC73481.1,surface-exposed outer membrane lipoprotein,364
AAC73482.1,DUF2755 domain-containing inner membrane protein YaiY,102
AAC73483.2,DUF2754 domain-containing protein YaiZ,70
AAC73484.1,D-alanine--D-alanine ligase A,364
AAC73485.1,anti-adaptor protein for sigma(S) stabilization,86
AAC73486.2,alkaline phosphatase,471
AAC73487.2,PsiF family protein,106
AAC73488.1,diguanylate cyclase DgcC,371
AAC73489.1,pyrroline-5-carboxylate reductase,269
AAC73490.2,DUF188 domain-containing protein YaiI,152
AAC73491.1,shikimate kinase 2,174
AAC73492.1,protein YaiA,63
AAC73493.1,protein AroM,225
AAC73494.1,nucleoside phosphorylase PpnP,94
AAC73496.1,nucleoid-associated protein RdgC,303
AAC73497.2,fructokinase,302
AAC73499.1,putative transport protein AraJ,394
AAC73500.1,ATP dependent  structure specific DNA nuclease - SbcC subunit,1048
AAC73501.1,ATP dependent  structure specific DNA nuclease - SbcD subunit,400
AAC73502.1,DNA-binding transcriptional dual regulator PhoB,229
AAC73503.1,sensor histidine kinase PhoR,431
AAC73504.1,branched chain amino acid transporter BrnQ,439
AAC73505.1,putative transporter ProY,457
AAC73506.2,maltodextrin glucosidase,604
AAC73507.1,acyl carrier protein phosphodiesterase,193
AAC73508.1,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,356
AAC73509.1,tRNA-guanine transglycosylase,375
AAC73510.1,Sec translocon accessory complex subunit YajC,110
AAC73511.1,Sec translocon accessory complex subunit SecD,615
AAC73512.1,Sec translocon accessory complex subunit SecF,323
AAC73513.1,HNH nuclease family protein YajD,115
AAC73514.1,nucleoside-specific channel-forming protein Tsx,294
AAC73515.2,putative lipoprotein YajI,179
AAC73516.1,NrdR transcriptional repressor,149
AAC73517.1,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,367
AAC73518.1,6 7-dimethyl-8-ribityllumazine synthase,156
AAC73519.1,transcription antitermination protein NusB,139
AAC73520.1,thiamine monophosphate kinase,325
AAC73521.1,phosphatidylglycerophosphatase A,172
AAC73522.2,1-deoxyxylulose-5-phosphate synthase YajO,324
AAC73523.1,1-deoxy-D-xylulose-5-phosphate synthase,620
AAC73524.1,geranyl diphosphate/farnesyl diphosphate synthase,299
AAC73525.1,exodeoxyribonuclease VII subunit XseB,80
AAC73526.1,tRNA uridine 4-sulfurtransferase,482
AAC73527.2,protein/nucleic acid deglycase 3,196
AAC73528.1,2-dehydropantoate 2-reductase,303
AAC73529.2,nucleotide binding protein YajQ,163
AAC73530.2,putative transport protein YajR,454
AAC73531.1,heme O synthase,296
AAC73532.1,cytochrome bo3 ubiquinol oxidase subunit 4,109
AAC73533.1,cytochrome bo3 ubiquinol oxidase subunit 3,204
AAC73534.1,cytochrome bo3 ubiquinol oxidase subunit 1,663
AAC73535.1,cytochrome bo3 ubiquinol oxidase subunit 2,315
AAC73536.1,muropeptide:H(+) symporter,491
AAC73537.2,putative lipoprotein YajG,192
AAC73538.2,DNA-binding transcriptional dual regulator BolA,105
AAC73539.1,trigger factor,432
AAC73540.1,ATP-dependent Clp protease proteolytic subunit,207
AAC73541.1,ATP-dependent Clp protease ATP-binding subunit ClpX,424
AAC73542.1,Lon protease,784
AAC73543.1,DNA-binding protein HU-beta,90
AAC73544.1,periplasmic folding chaperone,623
AAC73545.1,helix-hairpin-helix 3 family protein,123
AAC73546.1,long-chain acyl-CoA thioesterase FadM,132
AAC73547.1,7-cyano-7-deazaguanine synthase,231
AAC73548.1,uncharacterized protein YbaE,566
AAC73549.2,HMP-PP phosphatase,272
AAC73550.2,DNA-binding transcriptional activator DecR,152
AAC73551.1,ABC transporter family protein MdlA,590
AAC73552.1,ABC transporter family protein MdlB,593
AAC73553.1,nitrogen regulator GlnK,112
AAC73554.1,ammonia/ammonium transporter,428
AAC73555.1,acyl-CoA thioesterase II,286
AAC73556.1,PF09619 family lipoprotein YbaY,190
AAC73557.1,DNA base-flipping protein,129
AAC73558.1,DUF1428 domain-containing protein YbaA,117
AAC73559.2,c-di-GMP phosphodiesterase PdeB,516
AAC73560.2,putative inner membrane protein,156
AAC73561.1,maltose O-acetyltransferase,183
AAC73562.1,hemolysin expression-modulating protein Hha,72
AAC73563.1,Hha toxicity modulator TomB,124
AAC73564.1,multidrug efflux pump RND permease AcrB,1049
AAC73565.1,multidrug efflux pump membrane fusion lipoprotein AcrA,397
AAC73566.1,DNA-binding transcriptional repressor AcrR,215
AAC73567.1,potassium dependent  small conductance mechanosensitive channel,1120
AAC73568.1,DUF2496 domain-containing protein YbaM,53
AAC73569.1,primosomal replication protein N'',175
AAC73570.1,DUF454 domain-containing inner membrane protein YbaN,125
AAC73571.1,adenine phosphoribosyltransferase,183
AAC73572.1,DNA polymerase III subunit tau,643
AAC73573.1,putative nucleoid-associated protein YbaB,109
AAC73574.1,DNA repair protein RecR,201
AAC73575.1,chaperone protein HtpG,624
AAC73576.1,adenylate kinase,214
AAC73577.1,ferrochelatase,320
AAC73578.1,acetylesterase,319
AAC73579.1,inosine/guanosine kinase,434
AAC73580.1,putative transporter YbaL,558
AAC73581.1,fosmidomycin efflux pump,406
AAC73582.1,5'-nucleotidase/UDP-sugar hydrolase,550
AAC73583.1,Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase,159
AAC73584.1,TraB family protein YbaP,264
AAC73585.2,DNA-binding transcriptional regulator YbaQ,113
AAC73586.1,Cu(+) exporting P-type ATPase,834
AAC73587.1,glutaminase 1,310
AAC73588.1,putative transporter YbaT,430
AAC73589.1,DNA-binding transcriptional dual regulator CueR,135
AAC73590.2,NfeD-like family protein YbbJ,152
AAC73591.1,PHB domain-containing protein QmcA,305
AAC73592.1,putative iron ABC exporter ATP-binding subunit FetA,225
AAC73593.2,putative iron ABC exporter membrane subunit FetB,259
AAC73594.2,chaperedoxin,284
AAC73595.1,NADP(+)-dependent aldehyde reductase YbbO,269
AAC73596.1,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,208
AAC73597.1,putative ABC transporter ATP-binding protein YbbA,228
AAC73598.1,putative ABC transporter membrane subunit YbbP,804
AAC73599.1,protein RhsD,1426
AAC73600.1,PF15631 family protein YbbC,122
AAC73605.1,tRNA 2-selenouridine synthase,364
AAC73606.1,DNA-binding transcriptional activator AllS,308
AAC73607.1,ureidoglycolate lyase,160
AAC73608.1,DNA-binding transcriptional repressor AllR,271
AAC73609.1,glyoxylate carboligase,593
AAC73610.1,hydroxypyruvate isomerase,258
AAC73611.1,tartronate semialdehyde reductase 2,292
AAC73613.2,putative allantoin transporter,484
AAC73614.1,allantoinase,453
AAC73615.2,putative purine transporter,433
AAC73616.1,glycerate 2-kinase 2,381
AAC73617.1,(S)-ureidoglycine aminohydrolase,261
AAC73618.1,allantoate amidohydrolase,411
AAC73619.1,ureidoglycolate dehydrogenase,349
AAC73620.1,putative acyl-CoA synthetase FdrA,555
AAC73622.1,DUF2877 domain-containing protein YlbF,271
AAC73623.1,putative carbamate kinase,297
AAC73624.1,5-(carboxyamino)imidazole ribonucleotide synthase,355
AAC73625.1,N(5)-carboxyaminoimidazole ribonucleotide mutase,169
AAC73626.1,UDP-2 3-diacylglucosamine diphosphatase,240
AAC73627.1,peptidyl-prolyl cis-trans isomerase B,164
AAC73628.1,cysteine--tRNA ligase,461
AAC73629.1,PF04307 family inner membrane protein YbcI,173
AAC73630.2,putative RNA-binding protein YbcJ,70
AAC73631.1,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,288
AAC73632.2,putative fimbrial protein SfmA,180
AAC73633.1,putative fimbrial chaperone SfmC,230
AAC73634.1,putative fimbrial usher protein SfmD,867
AAC73635.2,putative fimbrial adhesin protein SfmH,327
AAC73636.1,putative fimbrial protein SfmF,171
AAC73637.1,putative LuxR family transcriptional regulator FimZ,210
AAC73638.1,DLP12 prophage; putative integrase,387
AAC73641.2,DLP12 prophage; IS3 element protein InsE,99
AAC73642.1,DLP12 prophage; IS3 element protein InsF,288
AAC73644.1,DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE,110
AAC73645.1,DLP12 prophage; putative recombinase YbcK,508
AAC73646.1,DLP12 prophage; periplasmic protein YbcL,183
AAC73647.1,DLP12 prophage; putative DNA-binding transcriptional regulator,265
AAC73648.1,DLP12 prophage; DNA base-flipping protein,151
AAC73649.1,DLP12 prophage; NinE family prophage protein,56
AAC73650.1,DLP12 prophage; putative nuclease YbcO,96
AAC73651.1,DLP12 prophage; crossover junction endodeoxyribonuclease RusA,120
AAC73652.1,DLP12 prophage; prophage antitermination protein Q homolog QuuD,127
AAC73653.2,DLP12 prophage; IS5 transposase and trans-activator,326
AAC73655.1,DLP12 prophage; putative phage lysis protein,71
AAC73656.1,DLP12 prophage; lysozyme,165
AAC73657.1,DLP12 prophage; putative prophage endopeptidase RzpD,153
